"","tweetsdf1.text","id"
"1","I wish Starbucks delivered",1
"2","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",2
"3","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",3
"4","I'm at Starbucks in Barstow, CA https://t.co/H2QIGyKpUT https://t.co/Zlp3xnI0Eb",4
"5","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",5
"6","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",6
"7","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",7
"8","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",8
"9","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",9
"10","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",10
"11","The Team Kids Bus is loaded w/ 100s of stuffed teddy bears and puppy dogs thanks to @Starbucks! @ABC7 @ABC7JulieSone https://t.co/VC2SzLvc1P",11
"12","RT @JumariHawk: Im changing the culture of visits!! so when I come to Nebraska in January I will be taking my visit and the same day I'm go…",12
"13","I hate when people stand so damn close to me in Starbucks lines.",13
"14","I didn't think this through completely. I didn't submit my paper yet ‍♀️. Oh well I will have to find a Starbucks in the morning",14
"15","RT @valenciaodalys: The amount of money I spend at Starbucks in a week is ridics",15
"16","i get a water from starbucks everyday before work since its free and the ladies there recognize me now and got me a… https://t.co/U6yrar7Id7",16
"17","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",17
"18","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",18
"19","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",19
"20","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",20
